127.0.0.1 - - [16/Jun/2020:17:19:05 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:19:18 +0530] "GET /ORS4/ HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:19:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:19:30 +0530] "GET /ORS4/WelcomeCtl HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:19:38 +0530] "GET /ORS4/LoginCtl HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:19:55 +0530] "POST /ORS4/LoginCtl HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:20:03 +0530] "GET /ORS4/ctl/MarksheetCtl HTTP/1.1" 200 6325
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:20:05 +0530] "GET /ORS4/ctl/MarksheetListCtl HTTP/1.1" 200 6971
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:20:11 +0530] "POST /ORS4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:20:11 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:27:45 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:27:47 +0530] "GET /ORS4/WelcomeCtl HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:31:15 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:31:17 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:31:19 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:31:32 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:32:26 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:32:37 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:33:52 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:34:04 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:34:50 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 563
