127.0.0.1 - - [11/Nov/2020:16:10:06 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:10:08 +0530] "GET /ORS4/ HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:10:10 +0530] "GET /ORS4/img/Logo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:10:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:10:42 +0530] "GET /ORS4/WelcomeCtl HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:15:35 +0530] "GET /ORS4/LoginCtl HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:15:41 +0530] "POST /ORS4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:15:41 +0530] "GET /ORS4/WelcomeCtl HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:15:44 +0530] "GET /ORS4/ctl/UserListCtl HTTP/1.1" 200 10503
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:15:48 +0530] "GET /ORS4/ctl/UserCtl?id=3 HTTP/1.1" 200 7450
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:15:48 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:03 +0530] "GET /ORS4/ctl/UserCtl?id=4 HTTP/1.1" 200 7353
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:04 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:12 +0530] "GET /ORS4/ctl/UserCtl?id=5 HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:12 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:16 +0530] "GET /ORS4/ctl/UserCtl?id=6 HTTP/1.1" 200 7466
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:16 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:21 +0530] "GET /ORS4/ctl/UserCtl?id=7 HTTP/1.1" 200 7447
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:21 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:26 +0530] "GET /ORS4/ctl/UserCtl?id=12 HTTP/1.1" 200 7446
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:27 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:33 +0530] "GET /ORS4/ctl/UserCtl?id=89 HTTP/1.1" 200 7353
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:33 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:45 +0530] "GET /ORS4/ctl/UserListCtl HTTP/1.1" 200 10503
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:48 +0530] "GET /ORS4/ctl/UserCtl?id=3 HTTP/1.1" 200 7450
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:48 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:50 +0530] "POST /ORS4/ctl/UserCtl HTTP/1.1" 200 7476
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:51 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:16:56 +0530] "GET /ORS4/ctl/UserListCtl HTTP/1.1" 200 10503
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:17:00 +0530] "GET /ORS4/ctl/UserCtl?id=6 HTTP/1.1" 200 7466
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:17:00 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:17:47 +0530] "POST /ORS4/ctl/UserCtl HTTP/1.1" 200 7483
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:17:48 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
